,sensors.pm25,sensors.pm10,sensors.temperature,sensors.gas,sensors.humidity,sensors.pressure,sensors.classification
838,3.6,7.5,21.7087109375,56593,47.86014928135335,984.4866241715238,0
839,3.6,7.5,21.7126171875,56958,47.52276916001506,984.1353502802262,0
840,3.6,7.5,21.7200390625,56921,47.321258727394024,983.6826211529514,0
841,4.2,8.8,21.7286328125,57216,47.24261547538771,983.230037392094,0
842,4.2,8.8,21.7430859375,57031,47.22595991675654,982.7678262132016,0
843,4.2,8.8,21.760859375,57031,46.037452430526635,982.4663641396812,0
844,4.2,8.8,21.7899609375,57664,45.76724656651806,982.405829388818,0
845,4.2,8.8,21.8253125,57701,45.88076539719631,982.6057597839704,0
846,4.2,8.8,21.8630078125,57253,45.93381569176083,983.0927774159293,0
847,4.2,8.8,21.90109375,57068,45.48876509982096,983.7463382045104,0
848,4.2,8.8,21.9387890625,57142,44.95404495202752,984.5013009045597,0
849,4.2,8.8,21.980390625,57031,44.85604312464469,985.3127423784633,0
850,4.2,8.8,22.02375,57664,44.9396278927726,986.134037537436,0
851,4.2,8.8,22.0696484375,56958,44.981204844126495,987.023485285948,0
852,2.4,5.0,22.119453125,56341,44.86598112421872,987.938371999776,0
853,2.4,5.0,22.1700390625,56485,44.72674471283121,988.830472627878,0
854,2.4,5.0,22.222578125,56127,44.654248498798715,989.7033988529017,0
855,2.4,5.0,22.276484375,56020,44.60004438526153,990.5337280616484,0
856,2.4,5.0,22.326875,55878,44.26801136521382,991.3083863216408,0
857,2.4,5.0,22.3815625,55319,44.455154237750186,992.055521183883,0
858,2.4,5.0,22.43859375,54975,44.89670008760753,992.7719807789864,0
859,2.4,5.0,22.4942578125,53936,44.90312538448969,993.3497019902676,0
860,2.4,5.0,22.555,53903,44.4931289792214,993.8319282322716,0
861,2.4,5.0,22.62140625,53382,44.132889934292876,994.191898815996,0
862,2.8,4.8,22.6977734375,52526,43.75645377780314,994.4347950449707,0
863,2.8,4.8,22.7825390625,51337,43.531757285201685,994.5199712405707,0
864,2.8,4.8,22.8743359375,50806,43.63823476953086,994.5559270193912,0
865,2.8,4.8,22.976875,49113,43.77610127363138,994.572871407207,0
866,2.8,4.8,23.0899609375,45074,43.29042007373286,994.6708941320736,0
867,2.8,4.8,23.2157421875,42932,42.81938870730011,994.9106536103592,0
868,2.8,4.8,23.3626171875,40021,42.56082181507937,995.2625060275583,0
869,2.8,4.8,23.5333203125,36163,42.514149715163605,995.7500096296976,0
870,2.8,4.8,23.7409375,31437,42.3999440141824,996.252321912877,0
871,2.8,4.8,23.99171875,26940,42.36821170807458,996.7656861575324,0
872,2.5,4.2,24.2313671875,64474,34.98608305888278,997.3895275448664,0
873,2.5,4.2,24.14953125,64710,34.983945813301375,997.4998590759191,0
874,2.5,4.2,24.0508984375,64852,35.151300902941266,997.4962120784984,0
875,2.5,4.2,23.9454296875,64568,35.363836239760545,997.43116444823,0
876,2.5,4.2,23.8294140625,65091,35.604188242122284,997.2675223349272,0
877,2.5,4.2,23.7096875,64947,35.91897937322773,997.0372033419189,0
